original_amount,txn_date,plaid_category,plaid_dirty_name
35.19,2020-07-27,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3.31,2018-07-09,"['Shops', 'Pharmacies']",Duane Reade
12.83,2020-12-02,"['Service', 'Insurance']",State Farm
5,2020-03-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 03/01
5,2020-09-21,"['Travel', 'Public Transportation Services']",VENTRA MOBILE CHICAGO IL 09/18
5,2018-03-29,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10.18,2020-07-22,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
5,2019-01-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
17.68,2019-02-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
6,2019-11-13,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 11/12
10.89,2019-09-04,"['Shops', 'Beauty Products']",Sephora
20,2020-10-23,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 10/22
3.94,2021-01-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
62.26,2019-10-28,"['Shops', 'Convenience Stores']",Cumberland Farms
49.99,2018-12-09,"['Food and Drink', 'Restaurants']",Hover.Com
181.82,2019-04-25,"['Transfer', 'Debit']",ALLY CASHBACK
18,2019-06-25,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 06/24
5.01,2019-04-05,"['Travel', 'Gas Stations']",Marathon Petro27
102,2019-09-09,"['Shops', 'Beauty Products']",Sephora
4,2020-06-23,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/22
19.82,2020-06-15,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.87,2020-03-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2019-04-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
13.56,2019-07-29,"['Travel', 'Gas Stations']",Cumberland Farms
3.78,2020-06-25,"['Travel', 'Gas Stations']",MARATHON PETRO1207 06-24 FORT
10,2019-12-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 12/29
17.95,2020-06-08,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
13.17,2018-12-02,"['Food and Drink', 'Restaurants']",Hover.Com
10.46,2020-01-06,"['Travel', 'Gas Stations']",MARATHON PETRO1207 01-04 FORT
8.47,2020-01-11,"['Food and Drink', 'Restaurants']",Chick-fil-A
1.25,2019-03-13,['Food and Drink'],PepsiCo
1.75,2018-09-14,['Food and Drink'],PepsiCo
49.49,2019-12-17,"['Food and Drink', 'Restaurants']",Hover.Com
7.98,2019-04-29,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
6,2019-09-18,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
8.16,2020-12-21,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 12/20
2,2020-12-10,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
5.91,2019-04-15,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
2.25,2021-01-21,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
20,2020-05-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 05/22
7.43,2019-03-11,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
25.51,2020-07-22,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 07/22
49.22,2020-12-10,"['Shops', 'Beauty Products']",Sephora
27.11,2020-12-04,"['Service', 'Food and Beverage']",DOORDASH*CHICK-FIL WWW.DOORDASH.
51.94,2020-07-19,"['Shops', 'Beauty Products']",Sephora
51.46,2020-06-15,"['Shops', 'Pharmacies']",Duane Reade
16,2019-12-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
12.99,2019-12-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
6.46,2017-03-02,"['Food and Drink', 'Restaurants']",DUNKIN #351004 Q35 NEW YORK NY 03/01
15.53,2020-01-21,"['Shops', 'Discount Stores']",Dollar General
189.95,2019-08-29,"['Shops', 'Beauty Products']",Sephora
9.78,2018-11-19,"['Shops', 'Pharmacies']",Duane Reade
69.52,2020-12-30,"['Shops', 'Pets']",ATM DEBIT CHEWY.COM
18.37,2020-11-05,"['Shops', 'Discount Stores']",Dollar General
3.18,2020-11-14,"['Shops', 'Discount Stores']",Dollar Tree
10,2019-09-26,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 09/25
21.72,2020-06-29,"['Food and Drink', 'Restaurants']",ADEN GOURMET DELI
8,2019-06-19,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
13.17,2019-09-11,"['Food and Drink', 'Restaurants']",Hover.Com
42.46,2019-07-16,"['Shops', 'Beauty Products']",Sephora
13.96,2020-04-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
53.45,2020-03-10,"['Shops', 'Pets']",CHEWY.COM
4.37,2019-12-21,"['Shops', 'Discount Stores']",Dollar Tree
31.8,2019-11-17,"['Shops', 'Beauty Products']",Sephora
29.9,2019-08-15,['Service'],"Wix.Com, Inc. CA 08/11"
40.61,2019-06-14,"['Travel', 'Gas Stations']",Sheetz
14.58,2019-03-18,"['Service', 'Insurance']",State Farm
5,2018-04-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5.3,2019-06-13,"['Travel', 'Gas Stations']",Sheetz
6.95,2017-07-07,"['Food and Drink', 'Restaurants']",DUNKIN #338221 Q35 BROOKLYN NY 07/06
17.3,2020-09-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
6.79,2019-11-25,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.5,2019-05-06,['Service'],Recurring Payment - WIX.COM*436828523
6,2020-01-16,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 01/15
54,2020-11-06,"['Shops', 'Beauty Products']",Sephora
2.25,2019-10-04,['Food and Drink'],PepsiCo
5,2018-07-10,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
3.99,2019-08-05,"['Shops', 'Pharmacies']",Duane Reade
11.95,2021-01-15,['Service'],WIX.COM*PREMIUM-PLAN NY 01/13
9.24,2020-09-23,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 09/23
11.38,2020-12-27,['Service'],SIGNED PURCHASE WIX.COM*836297383NEW YORK POS
5.02,2020-11-16,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
11.32,2021-01-19,"['Shops', 'Discount Stores']",Dollar General
17.95,2019-11-21,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.95,2021-01-08,"['Shops', 'Digital Purchase']",Audible
1.25,2020-01-13,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 01/10
26.72,2019-11-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
25,2020-06-26,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
7.96,2019-01-12,"['Service', 'Shipping and Freight']",THE UPS STORE 2850 CHICAGO IL 01220R
13.98,2019-02-19,"['Food and Drink', 'Restaurants']",Debit Purchase -visa 02/17 card 6332 Tree House Cafe Travelers Resc
20,2020-10-19,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 10/18
5,2019-08-21,"['Service', 'Shipping and Freight']",UPS
16.56,2019-09-17,"['Food and Drink', 'Restaurants', 'Dessert']",Smoothie King
63.31,2019-07-09,"['Shops', 'Convenience Stores']",Cumberland Farms
55.49,2020-10-19,"['Shops', 'Convenience Stores']",Cumberland Farms
5,2018-08-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
56.3,2020-12-07,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
45,2019-09-17,['Service'],"WIX.COM, INC."
10,2020-06-22,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/20
5,2019-04-26,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
36.81,2019-07-13,"['Service', 'Shipping and Freight']",UPS
6.07,2020-11-25,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/25
9.99,2019-09-30,['Service'],"WIX.COM, INC."
24.3,2019-06-19,"['Shops', 'Beauty Products']",ULTA #185 TEMPE AZ 06/19
10,2020-10-23,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/22
14.16,2020-12-01,"['Shops', 'Discount Stores']",Dollar General
34.52,2019-06-06,"['Shops', 'Pharmacies']",Duane Reade
8.41,2019-05-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
135.36,2020-02-26,"['Service', 'Insurance']",State Farm
10.89,2019-08-03,"['Shops', 'Beauty Products']",Sephora
10.07,2019-01-23,"['Shops', 'Discount Stores']",Dollar General
8,2020-09-20,"['Travel', 'Parking']",NYCDOT PARKING METERS
5.14,2020-02-06,"['Shops', 'Discount Stores']",Dollar General
14.92,2019-07-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-04-25,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
2,2020-12-18,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
5,2018-09-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2019-02-13,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
14.95,2019-07-31,"['Shops', 'Digital Purchase']",Audible
14.33,2021-02-01,"['Service', 'Food and Beverage']",DOORDASH*DUNKIN WWW.DOORDASH.
11.99,2019-09-09,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
100,2020-10-09,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/08
3,2021-01-04,"['Travel', 'Parking']",POS DEBIT SPOTHERO CHICAGO IL 00NN06862
10.27,2019-05-09,"['Travel', 'Gas Stations']",Sheetz
250,2020-01-27,"['Transfer', 'Debit']",ALLY CASHBACK
14.08,2020-07-16,"['Service', 'Insurance']",State Farm
19.79,2020-09-18,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
10,2019-11-18,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 11/15
13.42,2019-10-25,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-05-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
45,2019-04-16,['Service'],WIX.COM*4256002
5.38,2020-06-03,"['Travel', 'Gas Stations']",QuikTrip
13,2019-09-06,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
50,2020-10-21,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/20
18.5,2020-05-21,['Service'],Recurring Payment - WIX.COM*673266373
3.78,2020-04-30,"['Travel', 'Gas Stations']",MARATHON PETRO1207 04-29 FORT
16.24,2020-12-04,"['Shops', 'Digital Purchase']",Audible
1.85,2020-06-25,['Food and Drink'],PepsiCo
45,2019-06-17,['Service'],"WIX*WIX.COM, IN"
20,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/16
9.29,2017-08-04,"['Shops', 'Pharmacies']",Duane Reade
3.5,2019-11-01,['Food and Drink'],PepsiCo
10,2016-12-22,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
719.67,2019-12-18,"['Food and Drink', 'Restaurants']",Hover.Com
8.47,2020-06-29,"['Shops', 'Department Stores']",ROSS STORE 2267 06-27-20 FLORENC
10,2019-05-29,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 05/28
5.23,2019-10-25,"['Food and Drink', 'Restaurants']",Chick-fil-A
20.82,2020-11-03,"['Service', 'Food and Beverage']",DOORDASH*CHICK-FIL WWW.DOORDASH.
8.8,2020-10-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
16.93,2020-08-18,"['Travel', 'Gas Stations']",Marathon Petro23
22.45,2018-12-22,"['Shops', 'Beauty Products']",ULTA
14.92,2020-12-21,['Service'],Hover.Com
4.08,2020-11-23,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/22
4.89,2017-06-16,"['Food and Drink', 'Restaurants']",DUNKIN #340441 Q35 BROOKLYN NY 06/15
259,2019-10-15,"['Transfer', 'Debit']",ALLY CASHBACK
21.67,2019-11-12,"['Shops', 'Clothing and Accessories']",T J MAXX 1419 3RD AVE
15.24,2020-10-21,"['Shops', 'Beauty Products']",Sephora
720.17,2018-12-19,"['Food and Drink', 'Restaurants']",Hover.Com
17.73,2020-09-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3.23,2019-09-03,"['Shops', 'Convenience Stores']",Cumberland Farms
25.61,2020-04-13,"['Service', 'Shipping and Freight']",UPS
35.23,2020-12-23,"['Food and Drink', 'Restaurants']",THE LITTLE JEWEL OF
2.12,2020-04-10,"['Shops', 'Discount Stores']",Dollar Tree
113.62,2020-09-29,"['Service', 'Insurance']","THE GENERAL 800 280 14, 800-2801466"
7.67,2020-02-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
6.42,2020-07-08,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 07/08
106.45,2020-12-10,"['Shops', 'Beauty Products']",Sephora
1.5,2019-02-25,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 02/22
12.02,2019-10-02,"['Shops', 'Discount Stores']",Dollar Tree
5.99,2019-06-05,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
18.49,2020-01-14,"['Shops', 'Pharmacies']",Duane Reade
20,2019-09-12,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
2,2020-12-31,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
62.06,2020-10-01,"['Shops', 'Beauty Products']",Sephora
7.78,2019-07-24,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5.3,2018-08-29,"['Food and Drink', 'Restaurants']",DUNKIN #344495 Q35 WHITE PLAINS NY 08/28
3,2018-12-18,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
10,2020-05-21,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 05/20
5,2018-02-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10,2021-01-19,"['Food and Drink', 'Restaurants']",Chick-Fil-A
26.66,2021-01-11,"['Shops', 'Beauty Products']",Sephora
16.68,2020-03-11,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
15.26,2020-08-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
40.21,2019-04-10,"['Shops', 'Pets']",CHEWY.COM
16.27,2020-08-24,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
394.57,2018-11-23,"['Transfer', 'Debit']",ALLY CASHBACK
31,2017-02-28,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
14.95,2020-04-23,"['Shops', 'Bookstores']",Audible
132.33,2019-02-16,"['Shops', 'Clothing and Accessories']",T.J.Maxx
32.98,2020-09-01,"['Shops', 'Pharmacies']",JEWEL OSCO 309 09/01 PURCHASE ALSIP IL DEBIT CARD *7258
32.87,2019-03-07,"['Shops', 'Clothing and Accessories']",T J MAXX 815 HUTCHINS BRONX NY 03/07
82.68,2020-12-28,"['Shops', 'Beauty Products']",Sephora
15.3,2021-01-12,"['Shops', 'Bookstores']",Audible
8.29,2020-09-21,"['Travel', 'Gas Stations']",MARATHON PETRO144469
6.62,2020-01-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2019-12-19,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 12/18
31.96,2019-06-06,"['Travel', 'Gas Stations']",Sheetz
16.04,2019-11-27,"['Travel', 'Gas Stations']",Sheetz
2.99,2019-08-23,"['Travel', 'Gas Stations']",Cumberland Farms
5,2019-06-17,"['Travel', 'Public Transportation Services']",Ventra 4600 W. Mont CHICAGO IL 06/16
5,2018-12-07,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
9.39,2020-05-19,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 05/19
4.08,2021-01-15,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742
7.61,2020-01-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
16.18,2019-07-01,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
14.08,2020-11-16,"['Service', 'Insurance']",State Farm
10,2020-10-23,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/22
10.02,2020-12-22,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 4057 FRANKLIN PAR
5,2020-06-22,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/21
8.9,2020-07-20,"['Shops', 'Discount Stores']",Dollar General
7.8,2020-02-18,"['Shops', 'Discount Stores']",Dollar General
21.71,2019-06-10,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
30,2019-05-21,"['Travel', 'Gas Stations']",QuikTrip
4,2019-06-24,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
4,2020-10-06,"['Shops', 'Convenience Stores']",Cumberland Farms
18.61,2019-01-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
7.86,2020-05-02,"['Travel', 'Gas Stations']",QuikTrip
6.95,2017-07-21,"['Food and Drink', 'Restaurants']",DUNKIN #338221 Q35 BROOKLYN NY 07/20
16,2019-09-19,"['Shops', 'Digital Purchase']",Audible
12.83,2020-07-02,"['Service', 'Insurance']",State Farm
19.34,2020-03-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
8.97,2020-03-24,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 03/24
18.08,2020-08-24,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
11.91,2019-10-10,"['Food and Drink', 'Restaurants']",Chick-fil-A
11.17,2019-04-15,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
7.49,2019-08-27,"['Shops', 'Pharmacies']",Duane Reade
5,2019-10-22,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
31,2016-10-05,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
5,2018-03-24,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
60.32,2020-05-08,"['Shops', 'Pets']",CHEWY.COM
4.37,2019-12-21,"['Shops', 'Discount Stores']",Dollar Tree
136.36,2019-09-25,"['Service', 'Insurance']",State Farm
5,2018-12-11,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2019-06-17,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 06/15
14.69,2020-04-25,"['Shops', 'Discount Stores']",Dollar General
22,2020-12-24,"['Transfer', 'Third Party', 'PayPal']",DEBIT FOR JEWEL BLACK PU IAT PAYPAL CO REF- 000000000000000
143.1,2019-12-11,"['Shops', 'Beauty Products']",Sephora
47.21,2018-01-09,"['Shops', 'Pharmacies']",Duane Reade
20.34,2019-12-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10.5,2020-06-26,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 06/25
4.89,2017-10-04,"['Food and Drink', 'Restaurants']",DUNKIN #307815 Q35 BROOKLYN NY 10/03
5,2018-05-08,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2020-10-08,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/07
5,2019-05-20,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
5,2019-03-27,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
20,2021-01-11,"['Shops', 'Digital Purchase']",POS DEBIT GLOBALPOK GOLD COINS TA XBIEX
4,2019-03-29,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 03/28
13.14,2020-02-13,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 02/13
5,2018-05-18,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
25,2020-08-28,"['Travel', 'Parking']",NYCDOT PARKNYC NY 08/27
6.96,2019-12-04,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
12.83,2020-07-30,"['Service', 'Insurance']",State Farm
16.55,2020-06-10,"['Food and Drink', 'Restaurants']",White Castle
75.12,2017-11-16,"['Shops', 'Beauty Products']",Sephora
22.06,2020-04-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
4.59,2020-11-10,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/10
5,2019-02-06,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2021-01-04,"['Service', 'Personal Care']",POS DEBIT GLOBALPOK GOLD COIN GP@VGW.CO
143.81,2019-04-18,"['Service', 'Insurance']",State Farm
16.1,2019-04-03,"['Travel', 'Gas Stations']",Sheetz
7.81,2019-07-24,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.78,2020-03-11,"['Shops', 'Discount Stores']",Dollar Tree
6.4,2020-03-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
26.13,2019-10-17,"['Shops', 'Beauty Products']",ULTA 1402 NEW YORK NY 10/17
17.85,2020-07-22,"['Shops', 'Pharmacies']",JEWEL OSCO 3474 PALATINE IL 07/22
19.93,2020-08-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
179.41,2019-11-18,"['Transfer', 'Debit']",ALLY CASHBACK
23.99,2020-07-06,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 07/03
32,2017-05-18,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
9.22,2017-07-24,"['Food and Drink', 'Restaurants']",DUNKIN #350503 Q35 BROOKLYN NY 07/22
4,2020-07-24,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/23
10.86,2020-08-31,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
23.03,2020-07-06,['Service'],MARATHON PETRO171249
10.94,2019-01-03,"['Shops', 'Clothing and Accessories']",ROSS STORES #1656 RESEDA CA 01/03
5,2020-06-22,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/20
47.62,2020-07-07,"['Shops', 'Convenience Stores']",Cumberland Farms
5,2019-09-23,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
3,2019-01-28,"['Travel', 'Public Transportation Services']",Ventra 1118 W. Thor CHICAGO IL 01/28
3.44,2020-07-15,"['Service', 'Shipping and Freight']",UPS
131.49,2020-07-19,"['Shops', 'Pharmacies']",SHAWS OSCO 0057
21.07,2020-10-20,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.91,2020-01-18,"['Shops', 'Discount Stores']",Dollar Tree
5,2018-10-03,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
91.46,2020-08-25,"['Shops', 'Beauty Products']",Sephora
9.24,2021-01-05,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 01/05
12.81,2019-05-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
8.66,2020-05-08,"['Shops', 'Pets']",CHEWY.COM
31,2017-02-13,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
4,2020-06-08,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/05
54.75,2019-09-02,"['Shops', 'Pets']",CHEWY.COM
15.93,2020-12-12,"['Shops', 'Clothing and Accessories']",T.J.Maxx
19.37,2019-11-01,"['Shops', 'Discount Stores']",Dollar General
5,2018-05-31,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
43.61,2021-01-12,"['Shops', 'Clothing and Accessories']",POS DEBIT ROSS STORE #2290
3.16,2019-03-28,"['Food and Drink', 'Restaurants']",DUNKIN #350373 Q35 03-27 MURRAY
7.15,2020-07-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
20,2020-12-11,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 12/10
5,2020-10-15,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/14
5.97,2017-10-02,"['Food and Drink', 'Restaurants']",DUNKIN #338221 Q35 BROOKLYN NY 09/30
5.25,2020-08-17,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
5,2019-09-18,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10,2018-02-09,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
8.8,2020-09-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
41.08,2020-03-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10,2019-06-26,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 06/25
4.08,2021-01-19,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742
25,2020-07-03,"['Shops', 'Department Stores']",ROSS STORES #1 07/03 PURCHASE CRESTWOOD IL DEBIT CARD *7258
48.41,2020-01-27,"['Shops', 'Pharmacies']",Duane Reade
5.5,2019-06-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
2,2020-10-05,"['Travel', 'Gas Stations']",MARATHON PETRO1050 10-01 PADUCAH
30.64,2018-12-31,"['Shops', 'Clothing and Accessories']",T.J.Maxx
139.13,2019-11-20,"['Service', 'Insurance']",State Farm
16.35,2019-01-06,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
48.99,2019-01-03,"['Food and Drink', 'Restaurants']",Hover.Com
361.34,2019-10-28,"['Transfer', 'Debit']",ALLY CASHBACK
4,2020-01-10,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 01/09
7.42,2021-01-09,"['Shops', 'Discount Stores']",Dollar Tree
29.35,2019-09-09,"['Shops', 'Pharmacies']",Duane Reade
42.46,2020-08-12,"['Shops', 'Beauty Products']",Sephora
5,2019-06-26,"['Travel', 'Gas Stations']",Marathon Petro
25,2020-11-16,"['Food and Drink', 'Restaurants']",Chick-Fil-A
5,2019-06-29,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
40.61,2019-06-14,"['Travel', 'Gas Stations']",Sheetz
63.01,2020-12-07,"['Shops', 'Clothing and Accessories']",T J MAXX 250 W 57TH S
10.52,2019-02-05,"['Shops', 'Pets']",CHEWY.COM FL 02/04
5,2019-04-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
36.82,2019-12-16,"['Service', 'Shipping and Freight']",UPS
27.2,2020-04-17,"['Shops', 'Pharmacies']",Duane Reade
150,2019-09-17,"['Transfer', 'Debit']",ALLY CASHBACK
26.06,2019-07-29,"['Service', 'Shipping and Freight']",UPS
17.8,2020-09-03,"['Shops', 'Discount Stores']",Dollar General
4.85,2019-05-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
34.22,2019-05-20,"['Service', 'Shipping and Freight']",UPS
113.58,2020-11-25,"['Service', 'Insurance']",State Farm
2.78,2017-12-25,"['Food and Drink', 'Restaurants']","DUNKIN #355310 Q EAGAN, MN, US"
14.95,2020-05-23,"['Shops', 'Bookstores']",Audible
4.18,2020-10-30,"['Shops', 'Discount Stores']",Dollar Tree
